number	title	pageid	namespace	length	touched
119	Liste_des_champions_du_monde_de_football	1783227		37107	20170212200443
120	Kung-foot	1786200		11996	20170215161733
121	L'Amour_foot	1789842		2344	20170131040814
122	Bâton_de_Nasazzi	1809174		42630	20170212200531
123	Statistiques_et_records_du_Stade_rennais_football_club	1888081		74680	20170214165248
124	Institut_national_du_football_de_Vichy	1917064		21758	20170215012519
125	La_Gaillette	1918278		18254	20170212200947
126	Centre_de_formation_du_Stade_rennais_football_club	1926408		107367	20170212201009
127	Records_de_l'AS_Monaco	1934827		18997	20170116132517
128	Kop	2011786		1733	20170215162947
129	Records_d'Arsenal_Football_Club	2023788		17368	20170212201453
130	Affaire_Kébé	2368825		8326	20170116133427
131	Football	2480198		224478	20170213211521
132	Libéro_(football)	2689255		5036	20170116134036
133	Académie_Mimosifcom	2719182		2055	20170215164224
134	Football_et_politique	2754078		15474	20170212202807
135	Match_de_football_pour_philosophes	2761487		6267	20170212202818
136	Centre_Tola-Vologe	2767958		2253	20170215164430
137	Liste_des_médaillés_olympiques_en_football	2808543		51754	20170214070858
138	Doublé	2927175		20190	20170127025629
139	Culture_du_football	2936355		18865	20170212203647
140	Historique_du_parcours_africain_du_Canon_Yaoundé	2944769		1627	20170214181810
141	Économie_du_football	2947630		22637	20170215012958
142	Match_de_football_Australie_–_Samoa_américaines	3034345		13731	20170213165859
143	Dribble	3052086		3240	20170128184309
144	Arbitre_(football)	3058957		24417	20170212204222
145	Bicyclette_(football)	3067119		4067	20170128184412
146	Association_européenne_des_clubs	3101615		22891	20170215034959
147	Statistiques_et_records_de_l'Olympique_de_Marseille	3136219		52039	20170212204544
148	Records_du_Valenciennes_FC	3172232		2940	20170116140105
149	Québec_Soccer	3178453		15114	20170128184941
150	Règle_des_buts_marqués_à_l'extérieur	3209693		19890	20170212205020
151	Équipe_réserve_et_centre_de_formation_du_Liverpool_Football_Club	3287394		7672	20170212205415
152	Statistiques_et_records_du_Liverpool_FC	3307035		16227	20170212205446
153	Complexe_sportif_Raja-Oasis	3359520		1644	20170213033758
