number	title	pageid	namespace	length	touched
128	Guy_Lewis_Steele,_Jr.	516542		2099	20170215150704
129	Réseau_bayésien	541994		23718	20170215010406
130	Raisonnement_par_cas	548230		27638	20170131232948
131	Algorithme_minimax	552007		5755	20170212185132
132	Lego_Mindstorms_NXT	563773		9259	20170215151107
133	Relaxation_continue	566366		1438	20170215151124
134	Autocorrélation	568170		8520	20170116120403
135	Aide_à_la_décision_multicritère	584825		2764	20170215151229
136	Autoguidage	587687		1544	20170215151233
137	Loi_de_Hick	588175		2138	20170215151233
138	Programmation_logique_inductive	590950		710	20170215151237
139	Heinz_von_Foerster	599202		11544	20170214100232
140	Réseau_sémantique	601095		8300	20170215151328
141	Graphe_conceptuel	601123		5562	20170131232948
142	Algorithme_de_Levenberg-Marquardt	607095		8342	20170212185507
143	Algorithme_de_recherche	654457		3144	20170215151614
144	Robot_parallèle	656880		5335	20170215151622
145	Fléau_de_la_dimension	662446		3453	20170215151627
146	Théorie_du_renversement	669145		10322	20170213090842
147	Temps_d'arrêt	680306		9962	20170116121121
148	Alignement_d'ontologies	686574		658	20170215151809
149	Odométrie	695823		4577	20170116121232
150	Théorème_de_fluctuation-dissipation	700835		3233	20170212190212
151	Équation_différentielle_stochastique	717794		17024	20170128163128
152	Frame_representation_language	740258		660	20170215152122
153	Algorithme_ID3	743404		3601	20170215152138
154	Algorithme_C4.5	749070		2094	20170215152209
155	Élagage_alpha-bêta	752224		7567	20170212190459
156	Je_n'ai_pas_de_bouche_et_il_faut_que_je_crie	763173		2421	20170116121651
157	Contexte	768505		6088	20170212194608
158	Recherche_de_chemin	774175		6137	20170131232948
159	Modèle_des_urnes_d'Ehrenfest	775933		8000	20170128163648
160	Diagnostic_(intelligence_artificielle)	779198		7652	20170131232948
161	Infosphère	780996		3332	20170116121748
162	Agent_logiciel	784590		10894	20170212190621
163	Ingénierie_des_connaissances	786602		10044	20170215152414
164	Algorithme_glouton	791997		5762	20170212190648
165	Élicitation	799747		4874	20170215152503
166	Environnement_intelligent	801853		907	20170215152504
167	Machine_Lisp	802945		18286	20170212190732
168	STRIPS	813336		7904	20170116121954
169	Lego_Mindstorms_RCX	817633		4113	20170116122016
170	Bot_informatique	826510		5949	20170215152608
171	Équation_de_Langevin	829207		12894	20170213214431
172	Méthode_du_gradient_conjugué	834173		13250	20170212191002
173	Douglas_Lenat	838755		3213	20170214224032
174	Principaux_projets_et_réalisations_en_intelligence_artificielle	838789		19825	20170131232948
175	Le_Cerveau_d'acier	840643		8612	20170215152712
176	Théorie_des_perspectives	853126		10583	20170215152802
177	Modèle_de_Markov_caché	882311		9918	20170215011234
178	Prise_de_décision	882341		8898	20170131035309
179	Décalage_de_Bernoulli_(langage_formel)	913665		2167	20170116122805
180	Système_immunitaire_artificiel	913685		6468	20170215153317
181	Processus_de_décision_markovien	915991		18534	20170215153326
182	Algorithme_espérance-maximisation	920159		14175	20170212191948
183	Analyse_discriminante_linéaire	921340		14453	20170212191949
184	Automation_industrielle	922917		1181	20170116122901
185	Moteur_d'inférence	928218		3626	20170212192028
186	Base_de_connaissance	928272		2551	20170215153357
187	Régression_logistique	929565		24233	20170215011348
188	Modèle_géométrique_direct	956517		1411	20170215153541
189	Modèle_géométrique_inverse	956539		1314	20170215153541
190	Effet_ELIZA	967431		12330	20170212192359
191	Raymond_Kurzweil	988906		10942	20170215153809
192	Woodie_Flowers	997065		1069	20170215153840
193	Programmation_génétique	1000310		6665	20170215153857
194	Richard_Greenblatt	1001795		1734	20170215153858
195	Processus_de_décision_markovien_partiellement_observable	1010253		4254	20170215153913
196	Modélisation_des_robots	1027997		70185	20170215154031
197	Commande_des_robots	1027999		715	20170215154031
198	Knowledge_Query_and_Manipulation_Language	1043325		2100	20170215154105
199	Tierra_(simulation_informatique)	1069236		991	20170215154231
200	Profil_utilisateur	1071432		10824	20170212193018
201	Transformée_généralisée_de_Hough	1074989		1562	20170215154254
202	Algorithme_d'Aho-Corasick	1092306		5867	20170131232949
203	Jabberwacky	1093988		8046	20170116124044
204	Robot_hexapode	1096943		5156	20170130102621
205	Apprentissage_par_renforcement	1102563		11408	20170212193243
206	Méthode_des_k_plus_proches_voisins	1103016		1346	20170215154409
207	Apprentissage_supervisé	1103899		3952	20170215154412
208	Partitionnement_de_données	1111250		4853	20170131232949
209	Algorithme_du_gradient	1112873		21060	20170215011622
210	Matrice_de_confusion	1112913		2476	20170215154446
211	AGROVOC	1151694		6477	20170212193534
212	Intelligence_artificielle_distribuée	1159963		809	20170215154727
213	Théorème_de_Girsanov	1184959		6453	20170212193751
214	Processus_continu	1189608		6185	20170212193805
215	Processus_stationnaire	1190289		6903	20170212193807
216	Processus_de_Gauss	1191652		5696	20170212193810
217	Autocovariance	1193493		3337	20170215154946
218	Modèle_Cox-Ingersoll-Ross	1196926		1290	20170116124649
219	Générateur_infinitésimal	1233740		1942	20170215155208
220	Ex_ante	1234544		918	20170127015147
221	Hinfini	1259913		6258	20170212194216
222	Apertium	1262956		26585	20170207200620
223	Demis_Hassabis	1265874		12549	20170215155424
224	Phidget	1266532		1731	20170215155430
225	Principe_d'entropie_maximale	1276504		2079	20170215155500
226	Recherche_plein_texte	1277388		7740	20170202125159
227	Murray_Campbell	1283309		1403	20170215155513
228	Algorithme_de_Nagle	1283945		2733	20170212194355
229	Vision_industrielle	1291862		7689	20170116125356
230	Intégrale_d'Itō	1292412		2241	20170215155627
231	Annotation_automatique_d'images	1294441		2782	20170212194425
232	Équation_maîtresse	1349679		3247	20170212194643
233	Méthode_de_Nelder-Mead	1356282		5995	20170212194700
234	Processus_de_Poisson	1362196		5266	20170127015909
235	Regroupement_hiérarchique	1366712		7428	20170209212323
